,V1,V2,V3,V4,pstar
44,ACC,Macrophage M2_CIBERSORT-ABS,-0.103,0.366571504485016,
45,ACC,Myeloid dendritic cell resting_CIBERSORT-ABS,-0.05,0.661495438778947,
46,ACC,Myeloid dendritic cell activated_CIBERSORT-ABS,0.36,0.00110639788770853,**
47,ACC,Mast cell activated_CIBERSORT-ABS,-0.236,0.0361982790600218,*
48,ACC,Mast cell resting_CIBERSORT-ABS,0.072,0.527346225219957,
49,ACC,Eosinophil_CIBERSORT-ABS,0.326,0.00334437249633232,**
50,ACC,Neutrophil_CIBERSORT-ABS,-0.009,0.936627091192555,
51,ACC,B cell_QUANTISEQ,0.237,0.03566128432151,*
52,ACC,Macrophage M1_QUANTISEQ,0.053,0.644641921025702,
53,ACC,Macrophage M2_QUANTISEQ,-0.287,0.0104438867970829,*
54,ACC,Monocyte_QUANTISEQ,-0.02,0.861345233004422,
55,ACC,Neutrophil_QUANTISEQ,0.011,0.926353333989132,
56,ACC,NK cell_QUANTISEQ,-0.068,0.554026653877537,
57,ACC,T cell CD4+ (non-regulatory)_QUANTISEQ,-0.021,0.851499472361288,
58,ACC,T cell CD8+_QUANTISEQ,-0.087,0.448219040768139,
59,ACC,T cell regulatory (Tregs)_QUANTISEQ,0.17,0.135091483441606,
60,ACC,Myeloid dendritic cell_QUANTISEQ,0.302,0.00688159155058813,**
61,ACC,uncharacterized cell_QUANTISEQ,-0.001,0.992776952508184,
62,ACC,T cell_MCPCOUNTER,0.265,0.0180582077321671,*
63,ACC,T cell CD8+_MCPCOUNTER,-0.067,0.556467914962138,
64,ACC,cytotoxicity score_MCPCOUNTER,-0.008,0.946153809908443,
65,ACC,NK cell_MCPCOUNTER,-0.093,0.4136791735268,
66,ACC,B cell_MCPCOUNTER,0.01,0.927526545679418,
67,ACC,Monocyte_MCPCOUNTER,-0.143,0.210115165385131,
68,ACC,Macrophage/Monocyte_MCPCOUNTER,-0.143,0.210115165385131,
69,ACC,Myeloid dendritic cell_MCPCOUNTER,-0.203,0.0729613495596639,
70,ACC,Neutrophil_MCPCOUNTER,0.271,0.01579181488941,*
71,ACC,Endothelial cell_MCPCOUNTER,0.075,0.513945115151248,
72,ACC,Myeloid dendritic cell activated_XCELL,-0.325,0.00352144029354425,**
73,ACC,B cell_XCELL,-0.039,0.732590667017098,
74,ACC,T cell CD4+ memory_XCELL,-0.099,0.385751948743733,
75,ACC,T cell CD4+ naive_XCELL,-0.466,1.4872785175987e-05,***
76,ACC,T cell CD4+ (non-regulatory)_XCELL,0.079,0.490163731772124,
77,ACC,T cell CD4+ central memory_XCELL,-0.052,0.651711452480811,
78,ACC,T cell CD4+ effector memory_XCELL,-0.209,0.0647223011049096,
79,ACC,T cell CD8+ naive_XCELL,0.104,0.361675025179807,
80,ACC,T cell CD8+_XCELL,-0.302,0.00681704153787312,**
81,ACC,T cell CD8+ central memory_XCELL,-0.287,0.0102678923479505,*
82,ACC,T cell CD8+ effector memory_XCELL,-0.118,0.300555444051817,
83,ACC,Class-switched memory B cell_XCELL,-0.029,0.802696575757715,
84,ACC,Common lymphoid progenitor_XCELL,0.273,0.0150642071142962,*
85,ACC,Common myeloid progenitor_XCELL,-0.199,0.0793885918566593,
86,ACC,Myeloid dendritic cell_XCELL,-0.337,0.00238496406741063,**
87,ACC,Endothelial cell_XCELL,-0.382,0.000516118945590021,***
88,ACC,Eosinophil_XCELL,-0.039,0.733019764532286,
89,ACC,Granulocyte-monocyte progenitor_XCELL,0.012,0.918104145463331,
90,ACC,Hematopoietic stem cell_XCELL,-0.279,0.012831167751136,*
91,ACC,Macrophage_XCELL,-0.156,0.171129116990017,
92,ACC,Macrophage M1_XCELL,-0.176,0.120401617435896,
93,ACC,Macrophage M2_XCELL,-0.385,0.000454201101946272,***
94,ACC,Mast cell_XCELL,-0.391,0.000371630201227774,***
95,ACC,B cell memory_XCELL,-0.033,0.772728567254248,
96,ACC,Monocyte_XCELL,-0.211,0.0619030404842694,
97,ACC,B cell naive_XCELL,-0.274,0.0146389825442485,*
98,ACC,Neutrophil_XCELL,-0.003,0.980677114492822,
99,ACC,NK cell_XCELL,-0.068,0.552045743164066,
100,ACC,T cell NK_XCELL,-0.371,0.000759717021673957,***
101,ACC,Plasmacytoid dendritic cell_XCELL,-0.114,0.315955128394175,
102,ACC,B cell plasma_XCELL,0.291,0.0092535290586141,**
103,ACC,T cell gamma delta_XCELL,0.327,0.00331246586871233,**
104,ACC,T cell CD4+ Th1_XCELL,0.066,0.562268075582631,
105,ACC,T cell CD4+ Th2_XCELL,0.364,0.000969371279023413,***
106,ACC,T cell regulatory (Tregs)_XCELL,-0.33,0.00295040384453776,**
107,ACC,immune score_XCELL,-0.318,0.00434111938553069,**
108,ACC,stroma score_XCELL,-0.439,5.16404011579979e-05,***
109,ACC,microenvironment score_XCELL,-0.424,9.91971377354171e-05,***
110,ACC,B cell_EPIC,0.012,0.913169447649768,
111,ACC,T cell CD4+_EPIC,-0.004,0.969922875015827,
112,ACC,T cell CD8+_EPIC,-0.013,0.906468040095433,
113,ACC,Endothelial cell_EPIC,-0.129,0.255629993762899,
114,ACC,Macrophage_EPIC,-0.298,0.00759049057532176,**
115,ACC,NK cell_EPIC,0.024,0.834310559406416,
116,ACC,uncharacterized cell_EPIC,0.218,0.0531040053581293,
117,BLCA,B cell_TIMER,-0.006,0.900227360940685,
118,BLCA,T cell CD4+_TIMER,-0.065,0.19181864232537,
119,BLCA,T cell CD8+_TIMER,0.187,0.000146553893135495,***
120,BLCA,Neutrophil_TIMER,0.088,0.0761547394571984,
121,BLCA,Macrophage_TIMER,0.085,0.0874087733548911,
122,BLCA,Myeloid dendritic cell_TIMER,0.142,0.00396515150071467,**
123,BLCA,B cell naive_CIBERSORT,-0.048,0.334071472075367,
124,BLCA,B cell memory_CIBERSORT,-0.118,0.0169966539844266,*
125,BLCA,B cell plasma_CIBERSORT,0.024,0.626010019271851,
126,BLCA,T cell CD8+_CIBERSORT,0.032,0.517211883786886,
127,BLCA,T cell CD4+ naive_CIBERSORT,-0.021,0.668028634066189,
128,BLCA,T cell CD4+ memory resting_CIBERSORT,-0.17,0.000562423502711171,***
129,BLCA,T cell CD4+ memory activated_CIBERSORT,0.132,0.00773044137151815,**
130,BLCA,T cell follicular helper_CIBERSORT,-0.013,0.793515377922885,
131,BLCA,T cell regulatory (Tregs)_CIBERSORT,-0.126,0.0106323953201862,*
132,BLCA,T cell gamma delta_CIBERSORT,-0.019,0.700421354620403,
133,BLCA,NK cell resting_CIBERSORT,0.083,0.0934779205931016,
134,BLCA,NK cell activated_CIBERSORT,0.01,0.843618231447405,
135,BLCA,Monocyte_CIBERSORT,-0.054,0.2783781079238,
136,BLCA,Macrophage M0_CIBERSORT,0.097,0.0497923763155381,*
137,BLCA,Macrophage M1_CIBERSORT,0.046,0.355375425154351,
138,BLCA,Macrophage M2_CIBERSORT,0.002,0.96706076269568,
139,BLCA,Myeloid dendritic cell resting_CIBERSORT,-0.029,0.562054574620385,
140,BLCA,Myeloid dendritic cell activated_CIBERSORT,0.052,0.291255118332777,
141,BLCA,Mast cell activated_CIBERSORT,-0.134,0.00678497532353082,**
142,BLCA,Mast cell resting_CIBERSORT,0.178,0.000307965495509455,***
143,BLCA,Eosinophil_CIBERSORT,-0.009,0.852897587752979,
144,BLCA,Neutrophil_CIBERSORT,-0.028,0.577459554314723,
145,BLCA,B cell naive_CIBERSORT-ABS,-0.045,0.368329181381354,
146,BLCA,B cell memory_CIBERSORT-ABS,-0.1,0.0426308209336013,*
147,BLCA,B cell plasma_CIBERSORT-ABS,-0.052,0.299277818459318,
148,BLCA,T cell CD8+_CIBERSORT-ABS,0.05,0.312377553818602,
149,BLCA,T cell CD4+ naive_CIBERSORT-ABS,0.034,0.498129625476992,
150,BLCA,T cell CD4+ memory resting_CIBERSORT-ABS,-0.074,0.13820526107806,
151,BLCA,T cell CD4+ memory activated_CIBERSORT-ABS,0.115,0.0197208802866827,*
152,BLCA,T cell follicular helper_CIBERSORT-ABS,0.02,0.685929220217814,
153,BLCA,T cell regulatory (Tregs)_CIBERSORT-ABS,-0.101,0.041229373831201,*
154,BLCA,T cell gamma delta_CIBERSORT-ABS,0.035,0.484928106870846,
155,BLCA,NK cell resting_CIBERSORT-ABS,0.162,0.000989176334858276,***
156,BLCA,NK cell activated_CIBERSORT-ABS,0.021,0.667199552628863,
157,BLCA,Monocyte_CIBERSORT-ABS,-0.086,0.0833693602052002,
158,BLCA,Macrophage M0_CIBERSORT-ABS,0.062,0.213023995444337,
159,BLCA,Macrophage M1_CIBERSORT-ABS,0.042,0.392626386061737,
160,BLCA,Macrophage M2_CIBERSORT-ABS,0.043,0.386303169491733,
161,BLCA,Myeloid dendritic cell resting_CIBERSORT-ABS,-0.005,0.912713479758805,
162,BLCA,Myeloid dendritic cell activated_CIBERSORT-ABS,0.07,0.15843202042803,
163,BLCA,Mast cell activated_CIBERSORT-ABS,-0.134,0.00678587627284835,**
164,BLCA,Mast cell resting_CIBERSORT-ABS,0.169,0.000586259923441545,***
165,BLCA,Eosinophil_CIBERSORT-ABS,0.015,0.768293780573436,
166,BLCA,Neutrophil_CIBERSORT-ABS,-0.01,0.84183711369682,
167,BLCA,B cell_QUANTISEQ,-0.03,0.547132292655185,
168,BLCA,Macrophage M1_QUANTISEQ,0.124,0.0121493254502725,*
169,BLCA,Macrophage M2_QUANTISEQ,-0.099,0.0459708471178045,*
170,BLCA,Monocyte_QUANTISEQ,0.057,0.249175614222443,
171,BLCA,Neutrophil_QUANTISEQ,0.057,0.252104675570771,
172,BLCA,NK cell_QUANTISEQ,0.065,0.192386320271398,
173,BLCA,T cell CD4+ (non-regulatory)_QUANTISEQ,-0.02,0.691340405982681,
174,BLCA,T cell CD8+_QUANTISEQ,0.097,0.0492686382255268,*
175,BLCA,T cell regulatory (Tregs)_QUANTISEQ,-0.015,0.769731243252366,
176,BLCA,Myeloid dendritic cell_QUANTISEQ,-0.036,0.464847387645685,
177,BLCA,uncharacterized cell_QUANTISEQ,-0.07,0.159449748517555,
178,BLCA,T cell_MCPCOUNTER,-0.159,0.00128798729028234,**
179,BLCA,T cell CD8+_MCPCOUNTER,0.082,0.0996364908132193,
180,BLCA,cytotoxicity score_MCPCOUNTER,0.057,0.24796073940321,
181,BLCA,NK cell_MCPCOUNTER,0.092,0.0648270579635658,
182,BLCA,B cell_MCPCOUNTER,-0.038,0.448501122660358,
183,BLCA,Monocyte_MCPCOUNTER,0.089,0.0730219949878809,
184,BLCA,Macrophage/Monocyte_MCPCOUNTER,0.089,0.0730219949878809,
185,BLCA,Myeloid dendritic cell_MCPCOUNTER,0.007,0.88804465961194,
186,BLCA,Neutrophil_MCPCOUNTER,0.189,0.00012324262321662,***
187,BLCA,Endothelial cell_MCPCOUNTER,-0.059,0.232820457442792,
188,BLCA,Myeloid dendritic cell activated_XCELL,-0.086,0.081526290564805,
189,BLCA,B cell_XCELL,-0.056,0.25503845077116,
190,BLCA,T cell CD4+ memory_XCELL,0.118,0.016657897717182,*
191,BLCA,T cell CD4+ naive_XCELL,-0.193,8.48506978118862e-05,***
192,BLCA,T cell CD4+ (non-regulatory)_XCELL,-0.057,0.24904518128595,
193,BLCA,T cell CD4+ central memory_XCELL,-0.276,1.48639515130954e-08,***
194,BLCA,T cell CD4+ effector memory_XCELL,-0.283,6.01446157865766e-09,***
195,BLCA,T cell CD8+ naive_XCELL,0.052,0.2921864626894,
196,BLCA,T cell CD8+_XCELL,-0.021,0.670951598441538,
197,BLCA,T cell CD8+ central memory_XCELL,0.015,0.766595507897234,
198,BLCA,T cell CD8+ effector memory_XCELL,0.029,0.552500871481374,
199,BLCA,Class-switched memory B cell_XCELL,-0.117,0.0181612742370256,*
200,BLCA,Common lymphoid progenitor_XCELL,0.285,4.4629239681645e-09,***
201,BLCA,Common myeloid progenitor_XCELL,-0.134,0.00673516632283902,**
202,BLCA,Myeloid dendritic cell_XCELL,-0.051,0.300699859584208,
203,BLCA,Endothelial cell_XCELL,-0.229,2.92713042458505e-06,***
204,BLCA,Eosinophil_XCELL,-0.244,5.77269243294317e-07,***
205,BLCA,Granulocyte-monocyte progenitor_XCELL,-0.045,0.362735022254648,
206,BLCA,Hematopoietic stem cell_XCELL,-0.275,1.59026525596988e-08,***
207,BLCA,Macrophage_XCELL,0.019,0.69616948364114,
208,BLCA,Macrophage M1_XCELL,-0.017,0.727297536945393,
209,BLCA,Macrophage M2_XCELL,-0.038,0.438628265096491,
210,BLCA,Mast cell_XCELL,0.062,0.212906773087039,
211,BLCA,B cell memory_XCELL,-0.091,0.0651005949379771,
212,BLCA,Monocyte_XCELL,-0.123,0.0129440075413788,*
213,BLCA,B cell naive_XCELL,-0.041,0.403156302522131,
214,BLCA,Neutrophil_XCELL,-0.035,0.485488100821471,
215,BLCA,NK cell_XCELL,-0.018,0.714184283277428,
216,BLCA,T cell NK_XCELL,-0.264,6.1990374946653e-08,***
217,BLCA,Plasmacytoid dendritic cell_XCELL,-0.018,0.71946744839498,
218,BLCA,B cell plasma_XCELL,-0.116,0.0187339491721083,*
219,BLCA,T cell gamma delta_XCELL,0.11,0.0258920633898034,*
220,BLCA,T cell CD4+ Th1_XCELL,0.191,0.000104980528604332,***
221,BLCA,T cell CD4+ Th2_XCELL,0.436,2.26184718842284e-20,***
222,BLCA,T cell regulatory (Tregs)_XCELL,0.013,0.794160614117859,
223,BLCA,immune score_XCELL,-0.072,0.144027218825989,
224,BLCA,stroma score_XCELL,-0.203,3.71377091536061e-05,***
225,BLCA,microenvironment score_XCELL,-0.129,0.0092055752417022,**
226,BLCA,B cell_EPIC,-0.047,0.345940672075151,
227,BLCA,T cell CD4+_EPIC,-0.1,0.0433392837778585,*
228,BLCA,T cell CD8+_EPIC,-0.096,0.0517597465077737,
229,BLCA,Endothelial cell_EPIC,-0.244,5.79206241452496e-07,***
230,BLCA,Macrophage_EPIC,0.085,0.0880420513902889,
231,BLCA,NK cell_EPIC,-0.004,0.932303853280508,
232,BLCA,uncharacterized cell_EPIC,0.124,0.0118424601433709,*
233,BRCA,B cell_TIMER,-0.07,0.0203692402872223,*
234,BRCA,T cell CD4+_TIMER,-0.122,5.38578551229746e-05,***
235,BRCA,T cell CD8+_TIMER,-0.084,0.00533636243040795,**
236,BRCA,Neutrophil_TIMER,-0.028,0.357130850871674,
237,BRCA,Macrophage_TIMER,-0.069,0.0220889380489758,*
238,BRCA,Myeloid dendritic cell_TIMER,-0.104,0.00056645584459784,***
239,BRCA,B cell naive_CIBERSORT,0.053,0.0794913206617949,
240,BRCA,B cell memory_CIBERSORT,-0.123,4.32489633925417e-05,***
241,BRCA,B cell plasma_CIBERSORT,-0.084,0.00516640523069387,**
242,BRCA,T cell CD8+_CIBERSORT,-0.118,8.53721340551445e-05,***
243,BRCA,T cell CD4+ naive_CIBERSORT,0.065,0.0317078971116022,*
244,BRCA,T cell CD4+ memory resting_CIBERSORT,0.017,0.581631050554269,
245,BRCA,T cell CD4+ memory activated_CIBERSORT,0.085,0.00502811332722529,**
246,BRCA,T cell follicular helper_CIBERSORT,0.031,0.309625315459622,
247,BRCA,T cell regulatory (Tregs)_CIBERSORT,-0.147,1.04128720928014e-06,***
248,BRCA,T cell gamma delta_CIBERSORT,0.019,0.527935554510396,
249,BRCA,NK cell resting_CIBERSORT,0.075,0.0130127174895999,*
250,BRCA,NK cell activated_CIBERSORT,-0.106,0.000441385220700755,***
251,BRCA,Monocyte_CIBERSORT,-0.048,0.110477316763214,
252,BRCA,Macrophage M0_CIBERSORT,0.04,0.182310154650934,
253,BRCA,Macrophage M1_CIBERSORT,0.09,0.00278807297624186,**
254,BRCA,Macrophage M2_CIBERSORT,0.034,0.261505145050101,
255,BRCA,Myeloid dendritic cell resting_CIBERSORT,0.004,0.890671016196674,
256,BRCA,Myeloid dendritic cell activated_CIBERSORT,0.034,0.261046485309953,
257,BRCA,Mast cell activated_CIBERSORT,-0.031,0.298417728110948,
258,BRCA,Mast cell resting_CIBERSORT,0.074,0.0140919442806307,*
259,BRCA,Eosinophil_CIBERSORT,0.096,0.00145316279752719,**
260,BRCA,Neutrophil_CIBERSORT,0.034,0.267210963608578,
261,BRCA,B cell naive_CIBERSORT-ABS,-0.034,0.265456682908328,
262,BRCA,B cell memory_CIBERSORT-ABS,-0.094,0.00175578452166864,**
263,BRCA,B cell plasma_CIBERSORT-ABS,-0.13,1.55793760985871e-05,***
264,BRCA,T cell CD8+_CIBERSORT-ABS,-0.12,6.52638540203684e-05,***
265,BRCA,T cell CD4+ naive_CIBERSORT-ABS,0.061,0.0447274075178788,*
266,BRCA,T cell CD4+ memory resting_CIBERSORT-ABS,-0.062,0.0413727708721108,*
267,BRCA,T cell CD4+ memory activated_CIBERSORT-ABS,0.063,0.0379343827407805,*
268,BRCA,T cell follicular helper_CIBERSORT-ABS,-0.05,0.0984350995962325,
269,BRCA,T cell regulatory (Tregs)_CIBERSORT-ABS,-0.153,3.52662243394851e-07,***
270,BRCA,T cell gamma delta_CIBERSORT-ABS,-0.003,0.916501020463724,
271,BRCA,NK cell resting_CIBERSORT-ABS,0.073,0.0155451914788707,*
272,BRCA,NK cell activated_CIBERSORT-ABS,-0.119,7.56737703978334e-05,***
273,BRCA,Monocyte_CIBERSORT-ABS,-0.085,0.00506903924016607,**
274,BRCA,Macrophage M0_CIBERSORT-ABS,-0.036,0.231457031874271,
275,BRCA,Macrophage M1_CIBERSORT-ABS,0.008,0.79480176826701,
276,BRCA,Macrophage M2_CIBERSORT-ABS,-0.089,0.00304731858917904,**
277,BRCA,Myeloid dendritic cell resting_CIBERSORT-ABS,-0.007,0.816235861466163,
278,BRCA,Myeloid dendritic cell activated_CIBERSORT-ABS,0.001,0.96587463706587,
279,BRCA,Mast cell activated_CIBERSORT-ABS,-0.111,0.000227217271550422,***
280,BRCA,Mast cell resting_CIBERSORT-ABS,0.044,0.142544084419386,
281,BRCA,Eosinophil_CIBERSORT-ABS,0.077,0.0110984474559782,*
282,BRCA,Neutrophil_CIBERSORT-ABS,-0.002,0.957758311858801,
283,BRCA,B cell_QUANTISEQ,-0.029,0.340301262761872,
284,BRCA,Macrophage M1_QUANTISEQ,0.013,0.673496427616315,
285,BRCA,Macrophage M2_QUANTISEQ,-0.147,1.05815684805426e-06,***
286,BRCA,Monocyte_QUANTISEQ,0.07,0.0213430300134031,*
287,BRCA,Neutrophil_QUANTISEQ,-0.035,0.25259278478276,
288,BRCA,NK cell_QUANTISEQ,-0.059,0.0498321670004706,*
289,BRCA,T cell CD4+ (non-regulatory)_QUANTISEQ,0.059,0.0497191106184729,*
290,BRCA,T cell CD8+_QUANTISEQ,-0.06,0.0456701522102432,*
291,BRCA,T cell regulatory (Tregs)_QUANTISEQ,-0.046,0.125907311286339,
292,BRCA,Myeloid dendritic cell_QUANTISEQ,0.041,0.172629254748107,
293,BRCA,uncharacterized cell_QUANTISEQ,0.053,0.0806460549504835,
294,BRCA,T cell_MCPCOUNTER,-0.115,0.000135322163287125,***
295,BRCA,T cell CD8+_MCPCOUNTER,-0.047,0.118064848841922,
296,BRCA,cytotoxicity score_MCPCOUNTER,-0.078,0.00936910934983673,**
297,BRCA,NK cell_MCPCOUNTER,-0.03,0.318989702465734,
298,BRCA,B cell_MCPCOUNTER,-0.117,9.76054543821569e-05,***
299,BRCA,Monocyte_MCPCOUNTER,-0.013,0.674288047073953,
300,BRCA,Macrophage/Monocyte_MCPCOUNTER,-0.013,0.674288047073953,
301,BRCA,Myeloid dendritic cell_MCPCOUNTER,-0.116,0.000119014343951265,***
302,BRCA,Neutrophil_MCPCOUNTER,0.037,0.222583469834922,
303,BRCA,Endothelial cell_MCPCOUNTER,-0.223,8.69500262268984e-14,***
304,BRCA,Myeloid dendritic cell activated_XCELL,-0.151,4.75094076282179e-07,***
305,BRCA,B cell_XCELL,-0.097,0.00128514534164171,**
306,BRCA,T cell CD4+ memory_XCELL,0.059,0.0513723738026976,
307,BRCA,T cell CD4+ naive_XCELL,-0.102,0.000730094830008401,***
308,BRCA,T cell CD4+ (non-regulatory)_XCELL,0.021,0.480509305833708,
309,BRCA,T cell CD4+ central memory_XCELL,-0.213,9.36037679491679e-13,***
310,BRCA,T cell CD4+ effector memory_XCELL,-0.275,1.54768086974018e-20,***
311,BRCA,T cell CD8+ naive_XCELL,0.067,0.0256332397828555,*
312,BRCA,T cell CD8+_XCELL,-0.084,0.00534364304230565,**
313,BRCA,T cell CD8+ central memory_XCELL,-0.107,0.000367020088899767,***
314,BRCA,T cell CD8+ effector memory_XCELL,-0.026,0.398190292837853,
315,BRCA,Class-switched memory B cell_XCELL,-0.077,0.010430315556201,*
316,BRCA,Common lymphoid progenitor_XCELL,0.411,6.77212395173301e-46,***
317,BRCA,Common myeloid progenitor_XCELL,-0.091,0.00251432931443059,**
318,BRCA,Myeloid dendritic cell_XCELL,-0.124,3.68076002704606e-05,***
319,BRCA,Endothelial cell_XCELL,-0.319,2.56856269352468e-27,***
320,BRCA,Eosinophil_XCELL,-0.02,0.515863835030595,
321,BRCA,Granulocyte-monocyte progenitor_XCELL,0.021,0.497363738137519,
322,BRCA,Hematopoietic stem cell_XCELL,-0.272,4.55139954929217e-20,***
323,BRCA,Macrophage_XCELL,-0.094,0.00185104454614912,**
324,BRCA,Macrophage M1_XCELL,-0.09,0.00276393120276144,**
325,BRCA,Macrophage M2_XCELL,-0.207,5.01103001629159e-12,***
326,BRCA,Mast cell_XCELL,0.107,0.000377963290746532,***
327,BRCA,B cell memory_XCELL,-0.133,1.00934502258604e-05,***
328,BRCA,Monocyte_XCELL,-0.095,0.0016624401752606,**
329,BRCA,B cell naive_XCELL,-0.036,0.237416861692645,
330,BRCA,Neutrophil_XCELL,0.001,0.984789757885456,
331,BRCA,NK cell_XCELL,0.077,0.0105904040000635,*
332,BRCA,T cell NK_XCELL,-0.273,3.47488504075156e-20,***
333,BRCA,Plasmacytoid dendritic cell_XCELL,-0.047,0.121579176740402,
334,BRCA,B cell plasma_XCELL,-0.178,3.02600315255506e-09,***
335,BRCA,T cell gamma delta_XCELL,0.06,0.0463112909292828,*
336,BRCA,T cell CD4+ Th1_XCELL,-0.011,0.722541043463767,
337,BRCA,T cell CD4+ Th2_XCELL,0.257,6.06581151236555e-18,***
338,BRCA,T cell regulatory (Tregs)_XCELL,0.049,0.105948180663213,
339,BRCA,immune score_XCELL,-0.107,0.000390459069300647,***
340,BRCA,stroma score_XCELL,-0.31,6.66407700264751e-26,***
341,BRCA,microenvironment score_XCELL,-0.244,2.26236771727136e-16,***
342,BRCA,B cell_EPIC,-0.133,9.83420918302849e-06,***
343,BRCA,T cell CD4+_EPIC,0.091,0.00243353121847104,**
344,BRCA,T cell CD8+_EPIC,0.094,0.00174283335989371,**
345,BRCA,Endothelial cell_EPIC,-0.259,2.56039692999693e-18,***
346,BRCA,Macrophage_EPIC,-0.16,1.08594433382944e-07,***
347,BRCA,NK cell_EPIC,-0.077,0.0109109849716938,*
348,BRCA,uncharacterized cell_EPIC,0.216,5.0048801237471e-13,***
349,CESC,B cell_TIMER,-0.07,0.221866270042892,
350,CESC,T cell CD4+_TIMER,-0.044,0.442966413470255,
351,CESC,T cell CD8+_TIMER,0.029,0.612948452460536,
352,CESC,Neutrophil_TIMER,0.1,0.0806760228630691,
353,CESC,Macrophage_TIMER,0.016,0.779584784293871,
354,CESC,Myeloid dendritic cell_TIMER,0.048,0.402754893937626,
355,CESC,B cell naive_CIBERSORT,0.02,0.725823081450453,
356,CESC,B cell memory_CIBERSORT,-0.147,0.0100636876455032,*
357,CESC,B cell plasma_CIBERSORT,-0.13,0.0224656504248081,*
358,CESC,T cell CD8+_CIBERSORT,-0.037,0.515429394663926,
359,CESC,T cell CD4+ naive_CIBERSORT,0.032,0.573077350460007,
360,CESC,T cell CD4+ memory resting_CIBERSORT,-0.078,0.172159082118502,
361,CESC,T cell CD4+ memory activated_CIBERSORT,0.052,0.364122609930092,
362,CESC,T cell follicular helper_CIBERSORT,0.04,0.482649863389145,
363,CESC,T cell regulatory (Tregs)_CIBERSORT,-0.246,1.39952269587794e-05,***
364,CESC,T cell gamma delta_CIBERSORT,-0.036,0.534138372309664,
365,CESC,NK cell resting_CIBERSORT,-0.048,0.398308574737354,
366,CESC,NK cell activated_CIBERSORT,0.048,0.407648931654639,
367,CESC,Monocyte_CIBERSORT,-0.258,5.03632737319365e-06,***
368,CESC,Macrophage M0_CIBERSORT,0.17,0.00277329903277035,**
